,Vehicle_ID,Frame_ID,Global_Time,Local_X,Local_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,Preceding,Following,Space_Headway,isChangingLane,NE,N,NW,W,SW,S,SE,E,isApproacingOnramp
35,35,36,25,1113433137400,27.436,102.057,24.8,8.5,3,17.69,1.86,3,0,0,0.0,0,-1,-1,1,-1,-1,-1,-1,-1,0
36,36,36,26,1113433137500,27.436,103.854,24.8,8.5,3,17.78,-0.59,3,0,0,0.0,0,-1,-1,1,-1,-1,-1,-1,-1,0
39,39,36,27,1113433137600,27.436,105.63,24.8,8.5,3,17.72,-0.72,3,0,0,0.0,0,-1,-1,1,-1,-1,-1,-1,-1,0
40,40,36,28,1113433137700,27.436,107.395,24.8,8.5,3,17.68,-0.19,3,0,0,0.0,0,-1,-1,-1,-1,-1,-1,36,-1,0
43,43,36,29,1113433137800,27.436999999999998,109.15899999999999,24.8,8.5,3,17.68,0.23,3,0,0,0.0,0,-1,-1,1,-1,-1,-1,-1,-1,0
44,44,36,30,1113433137900,27.439,110.926,24.8,8.5,3,17.7,0.45,3,0,0,0.0,0,-1,-1,1,-1,-1,-1,-1,-1,0
46,46,36,31,1113433138000,27.441,112.699,24.8,8.5,3,17.74,0.22,3,0,0,0.0,0,-1,-1,1,-1,-1,-1,-1,-1,0
49,49,36,32,1113433138100,27.443,114.476,24.8,8.5,3,17.75,0.0,3,0,0,0.0,0,-1,-1,1,-1,-1,-1,-1,-1,0
51,51,36,33,1113433138200,27.445,116.251,24.8,8.5,3,17.75,0.0,3,0,0,0.0,0,-1,-1,-1,-1,-1,-1,36,-1,0
53,53,36,34,1113433138300,27.447,118.02600000000001,24.8,8.5,3,17.75,0.0,3,0,0,0.0,0,-1,-1,1,-1,-1,-1,-1,-1,0
55,55,36,35,1113433138400,27.449,119.8,24.8,8.5,3,17.75,0.0,3,0,0,0.0,0,-1,-1,1,-1,-1,-1,-1,-1,0
56,56,36,36,1113433138500,27.451,121.575,24.8,8.5,3,17.75,0.0,3,0,0,0.0,0,-1,-1,1,-1,-1,-1,-1,-1,0
59,59,36,37,1113433138600,27.451999999999998,123.34700000000001,24.8,8.5,3,17.78,0.52,3,0,0,0.0,0,-1,-1,1,-1,-1,-1,-1,-1,0
60,60,36,38,1113433138700,27.454,125.132,24.8,8.5,3,17.8,0.0,3,0,0,0.0,0,-1,-1,1,-1,-1,-1,-1,-1,0
62,62,36,39,1113433138800,27.456,126.93299999999999,24.8,8.5,3,17.57,-3.53,3,0,0,0.0,0,-1,-1,1,-1,-1,-1,-1,-1,0
64,64,36,40,1113433138900,27.456,128.707,24.8,8.5,3,16.95,-8.83,3,0,0,0.0,0,-1,-1,1,-1,-1,-1,-1,-1,0
66,66,36,41,1113433139000,27.451,130.372,24.8,8.5,3,16.05,-10.61,3,0,0,0.0,0,-1,-1,1,-1,-1,-1,-1,-1,0
69,69,36,42,1113433139100,27.467,131.89,24.8,8.5,3,15.35,-4.83,3,0,0,0.0,0,-1,-1,-1,-1,-1,-1,36,-1,0
71,71,36,43,1113433139200,27.486,133.33700000000002,24.8,8.5,3,15.35,4.85,3,0,0,0.0,0,-1,-1,1,-1,-1,-1,-1,-1,0
73,73,36,44,1113433139300,27.521,134.855,24.8,8.5,3,16.05,10.59,3,0,0,0.0,0,-1,-1,1,-1,-1,-1,-1,-1,0
74,74,36,45,1113433139400,27.541999999999998,136.52,24.8,8.5,3,16.95,8.78,3,0,0,0.0,0,-1,-1,1,-1,-1,-1,-1,-1,0
77,77,36,46,1113433139500,27.568,138.293,24.8,8.5,3,17.57,3.53,3,0,0,0.0,0,-1,-1,-1,-1,-1,-1,36,-1,0
79,79,36,47,1113433139600,27.596,140.094,24.8,8.5,3,17.79,0.05,3,0,0,0.0,0,-1,-1,1,-1,-1,-1,-1,-1,0
80,80,36,48,1113433139700,27.623,141.878,24.8,8.5,3,17.79,-0.37,3,0,0,0.0,0,-1,-1,1,-1,-1,-1,-1,-1,0
82,82,36,49,1113433139800,27.65,143.65,24.8,8.5,3,17.78,0.25,3,0,50,0.0,0,1,-1,-1,-1,-1,-1,-1,36,0
87,87,36,50,1113433139900,27.676,145.43,24.8,8.5,3,17.79,0.12,3,0,50,0.0,0,-1,-1,-1,-1,50,-1,36,-1,0
88,88,36,51,1113433140000,27.70300000000001,147.211,24.8,8.5,3,17.79,-0.11,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
93,93,36,52,1113433140100,27.73,148.99,24.8,8.5,3,17.78,-0.24,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
94,94,36,53,1113433140200,27.756,150.766,24.8,8.5,3,17.76,-0.15,3,0,50,0.0,0,1,-1,-1,-1,-1,-1,-1,36,0
99,99,36,54,1113433140300,27.781,152.54,24.8,8.5,3,17.75,0.0,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
102,102,36,55,1113433140400,27.807,154.315,24.8,8.5,3,17.75,0.0,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
104,104,36,56,1113433140500,27.833000000000002,156.09,24.8,8.5,3,17.75,0.0,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
106,106,36,57,1113433140600,27.86,157.863,24.8,8.5,3,17.77,0.31,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
113,113,36,58,1113433140700,27.886,159.642,24.8,8.5,3,17.8,0.34,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
116,116,36,59,1113433140800,27.910999999999998,161.436,24.8,8.5,3,17.71,-1.62,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
121,121,36,60,1113433140900,27.963,163.224,24.8,8.5,3,17.32,-5.69,3,0,50,0.0,0,-1,-1,-1,11,50,-1,36,-1,0
124,124,36,61,1113433141000,27.893,164.95,24.8,8.5,3,16.62,-8.94,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
127,127,36,62,1113433141100,27.763,166.56,24.8,8.5,3,15.86,-7.48,3,0,50,0.0,0,-1,-1,-1,11,50,-1,36,-1,0
131,131,36,63,1113433141200,27.514,168.07299999999995,24.8,8.5,3,15.42,-1.78,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
137,137,36,64,1113433141300,27.355,169.57299999999995,24.8,8.5,3,15.44,2.92,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
141,141,36,65,1113433141400,27.241999999999997,171.12400000000005,24.8,8.5,3,15.71,3.47,3,0,50,0.0,0,-1,-1,-1,-1,-1,-1,50,1,0
142,142,36,66,1113433141500,27.241999999999997,172.725,24.8,8.5,3,15.95,1.38,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
147,147,36,67,1113433141600,27.219,174.33900000000003,24.8,8.5,3,16.03,-0.18,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
153,153,36,68,1113433141700,27.195,175.94299999999996,24.8,8.5,3,16.01,-0.24,3,0,50,0.0,0,1,-1,11,-1,-1,-1,-1,-1,0
155,155,36,69,1113433141800,27.17,177.541,24.8,8.5,3,16.0,0.0,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
158,158,36,70,1113433141900,27.147,179.141,24.8,8.5,3,16.0,0.0,3,0,50,0.0,0,-1,-1,-1,11,50,-1,36,-1,0
163,163,36,71,1113433142000,27.123,180.74,24.8,8.5,3,16.0,0.08,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
169,169,36,72,1113433142100,27.09800000000001,182.34099999999998,24.8,8.5,3,16.01,0.13,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
173,173,36,73,1113433142200,27.074,183.945,24.8,8.5,3,16.0,-0.26,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
176,176,36,74,1113433142300,27.048000000000002,185.551,24.8,8.5,3,15.91,-1.39,3,0,50,0.0,0,-1,-1,-1,-1,-1,-1,50,1,0
180,180,36,75,1113433142400,27.024,187.145,24.8,8.5,3,15.7,-2.82,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
183,183,36,76,1113433142500,27.011,188.706,24.8,8.5,3,15.4,-3.51,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
189,189,36,77,1113433142600,27.011,190.22400000000002,24.8,8.5,3,15.1,-2.8,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
191,191,36,78,1113433142700,27.021,191.71099999999998,24.8,8.5,3,14.89,-1.35,3,0,50,0.0,0,1,-1,11,-1,-1,-1,-1,36,0
196,196,36,79,1113433142800,27.034000000000002,193.185,24.8,8.5,3,14.8,-0.24,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
199,199,36,80,1113433142900,27.045,194.66099999999997,24.8,8.5,3,14.79,0.12,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
203,203,36,81,1113433143000,27.055999999999997,196.141,24.8,8.5,3,14.8,0.05,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
208,208,36,82,1113433143100,27.066999999999997,197.62099999999998,24.8,8.5,3,14.8,0.0,3,0,50,0.0,0,1,-1,11,-1,-1,-1,-1,36,0
212,212,36,83,1113433143200,27.07800000000001,199.101,24.8,8.5,3,14.8,0.0,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
217,217,36,84,1113433143300,27.089000000000002,200.581,24.8,8.5,3,14.8,0.0,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
220,220,36,85,1113433143400,27.099,202.06099999999998,24.8,8.5,3,14.8,0.04,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
222,222,36,86,1113433143500,27.11,203.541,24.8,8.5,3,14.81,0.08,3,0,50,0.0,0,1,-1,11,-1,-1,-1,-1,36,0
228,228,36,87,1113433143600,27.121,205.023,24.8,8.5,3,14.81,0.04,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
232,232,36,88,1113433143700,27.131999999999998,206.50400000000002,24.8,8.5,3,14.81,-0.04,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
234,234,36,89,1113433143800,27.142,207.986,24.8,8.5,3,14.81,-0.08,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
238,238,36,90,1113433143900,27.153000000000002,209.46599999999998,24.8,8.5,3,14.8,-0.04,3,0,50,0.0,0,-1,1,11,-1,-1,-1,-1,36,0
245,245,36,91,1113433144000,27.164,210.946,24.8,8.5,3,14.8,0.0,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
249,249,36,92,1113433144100,27.174,212.426,24.8,8.5,3,14.8,0.0,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
253,253,36,93,1113433144200,27.185,213.90599999999998,24.8,8.5,3,14.8,0.0,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
254,254,36,94,1113433144300,27.195,215.385,24.8,8.5,3,14.8,0.0,3,0,50,0.0,0,-1,-1,-1,-1,-1,-1,50,1,0
260,260,36,95,1113433144400,27.206,216.865,24.8,8.5,3,14.8,0.0,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
264,264,36,96,1113433144500,27.215999999999998,218.345,24.8,8.5,3,14.8,0.0,3,0,50,0.0,0,-1,1,11,-1,-1,-1,-1,36,0
269,269,36,97,1113433144600,27.226999999999997,219.825,24.8,8.5,3,14.8,0.0,3,0,50,0.0,0,11,-1,-1,-1,-1,-1,-1,50,0
274,274,36,98,1113433144700,27.237,221.305,24.8,8.5,3,14.8,0.0,3,0,50,0.0,0,-1,-1,-1,11,51,-1,50,-1,0
281,281,36,99,1113433144800,27.247,222.785,24.8,8.5,3,14.8,0.0,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
291,291,36,100,1113433144900,27.25800000000001,224.265,24.8,8.5,3,14.8,0.0,3,0,50,0.0,0,-1,-1,-1,-1,-1,-1,-1,-1,0
297,297,36,101,1113433145000,27.268,225.745,24.8,8.5,3,14.8,0.0,3,0,50,0.0,0,11,-1,-1,-1,-1,-1,-1,50,0
298,298,36,102,1113433145100,27.279,227.225,24.8,8.5,3,14.8,0.0,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
305,305,36,103,1113433145200,27.29,228.704,24.8,8.5,3,14.8,0.0,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
313,313,36,104,1113433145300,27.301,230.18400000000003,24.8,8.5,3,14.8,0.0,3,0,50,0.0,0,-1,-1,-1,11,51,-1,50,-1,0
317,317,36,105,1113433145400,27.311,231.66400000000002,24.8,8.5,3,14.8,0.0,3,0,50,0.0,0,-1,-1,1,50,-1,-1,-1,-1,0
327,327,36,106,1113433145500,27.322,233.144,24.8,8.5,3,14.8,0.0,3,0,50,0.0,0,-1,-1,15,-1,-1,-1,-1,-1,0
331,331,36,107,1113433145600,27.331999999999997,234.62400000000002,24.8,8.5,3,14.8,0.0,3,0,50,0.0,0,-1,-1,1,50,15,-1,-1,-1,0
340,340,36,108,1113433145700,27.343000000000004,236.104,24.8,8.5,3,14.8,0.0,3,0,50,0.0,0,51,54,-1,-1,-1,-1,21,-1,0
350,350,36,109,1113433145800,27.353,237.585,24.8,8.5,3,14.8,0.0,3,0,50,0.0,0,-1,-1,-1,-1,54,51,50,1,0
357,357,36,110,1113433145900,27.365,239.065,24.8,8.5,3,14.8,0.0,3,0,50,0.0,0,-1,-1,1,50,15,-1,-1,-1,0
363,363,36,111,1113433146000,27.375,240.545,24.8,8.5,3,14.8,0.0,3,0,50,0.0,0,-1,-1,-1,11,51,-1,50,-1,0
376,376,36,112,1113433146100,27.385,242.025,24.8,8.5,3,14.8,0.0,3,0,50,0.0,0,-1,-1,1,50,15,-1,-1,-1,0
380,380,36,113,1113433146200,27.396,243.505,24.8,8.5,3,14.8,0.0,3,0,50,0.0,0,-1,-1,-1,11,51,-1,50,-1,0
388,388,36,114,1113433146300,27.406,244.985,24.8,8.5,3,14.8,0.0,3,0,50,0.0,0,-1,-1,1,50,15,-1,-1,-1,0
394,394,36,115,1113433146400,27.416999999999998,246.465,24.8,8.5,3,14.8,0.0,3,0,50,0.0,0,-1,-1,-1,11,51,-1,50,-1,0
403,403,36,116,1113433146500,27.427,247.945,24.8,8.5,3,14.8,0.0,3,0,50,0.0,0,-1,-1,15,-1,-1,-1,-1,-1,0
410,410,36,117,1113433146600,27.438000000000002,249.425,24.8,8.5,3,14.8,0.0,3,0,50,0.0,0,51,-1,54,-1,-1,-1,21,-1,0
419,419,36,118,1113433146700,27.449,250.905,24.8,8.5,3,14.8,0.0,3,0,50,0.0,0,-1,-1,1,50,15,-1,-1,-1,0
429,429,36,119,1113433146800,27.46,252.377,24.8,8.5,3,14.87,1.2,3,0,50,0.0,0,11,-1,-1,-1,-1,-1,15,51,0
434,434,36,120,1113433146900,27.47,253.865,24.8,8.5,3,15.05,2.24,3,0,50,0.0,0,-1,-1,1,50,15,-1,-1,-1,0
446,446,36,121,1113433147000,27.480999999999998,255.38400000000001,24.8,8.5,3,15.19,1.43,3,0,50,0.0,0,-1,-1,15,-1,-1,-1,-1,-1,0
449,449,36,122,1113433147100,27.488000000000003,256.941,24.8,8.5,3,15.07,-3.24,3,0,50,0.0,0,-1,-1,1,50,15,-1,-1,-1,0
461,461,36,123,1113433147200,27.491,258.48,24.8,8.5,3,14.29,-11.2,3,0,50,0.0,0,11,-1,-1,-1,-1,-1,15,51,0
469,469,36,124,1113433147300,27.511,259.813,24.8,8.5,3,12.75,-11.2,3,0,50,0.0,0,-1,-1,1,50,15,-1,-1,-1,0
478,478,36,125,1113433147400,27.456999999999997,260.976,24.8,8.5,3,10.69,-11.2,3,0,50,0.0,0,11,-1,-1,-1,-1,-1,15,51,0
483,483,36,126,1113433147500,27.336,261.954,24.8,8.5,3,8.66,-11.2,3,0,50,0.0,0,-1,-1,1,50,15,-1,-1,-1,0
493,493,36,127,1113433147600,27.213,262.736,24.8,8.5,3,7.45,-6.76,3,0,50,0.0,0,51,-1,54,-1,-1,-1,21,-1,0
504,504,36,128,1113433147700,27.131,263.37,24.8,8.5,3,7.34,5.1,3,0,50,0.0,0,-1,-1,1,50,15,-1,-1,-1,0
512,512,36,129,1113433147800,27.119,264.093,24.8,8.5,3,7.94,9.51,3,0,50,0.0,0,-1,-1,-1,-1,54,-1,51,1,0
514,514,36,130,1113433147900,27.19,264.953,24.8,8.5,3,8.66,5.77,3,0,50,0.0,0,-1,-1,1,50,15,-1,-1,-1,0
527,527,36,131,1113433148000,27.235,265.885,24.8,8.5,3,9.04,0.68,3,0,50,0.0,0,51,-1,54,-1,-1,-1,21,-1,0
530,530,36,132,1113433148100,27.281999999999996,266.803,24.8,8.5,3,9.07,-0.55,3,0,50,0.0,0,-1,-1,15,-1,-1,-1,-1,-1,0
540,540,36,133,1113433148200,27.326999999999998,267.703,24.8,8.5,3,9.03,0.0,3,0,50,0.0,0,-1,-1,-1,11,51,-1,50,-1,0
549,549,36,134,1113433148300,27.373,268.606,24.8,8.5,3,9.03,0.0,3,0,50,0.0,0,-1,-1,-1,-1,54,-1,51,1,0
561,561,36,135,1113433148400,27.41800000000001,269.509,24.8,8.5,3,9.03,0.0,3,0,50,0.0,0,-1,-1,-1,-1,54,-1,51,1,0
572,572,36,136,1113433148500,27.464000000000002,270.41200000000003,24.8,8.5,3,9.03,0.0,3,0,50,0.0,0,-1,-1,-1,11,51,-1,50,-1,0
578,578,36,137,1113433148600,27.509,271.315,24.8,8.5,3,9.03,0.0,3,0,50,0.0,0,54,-1,-1,-1,-1,-1,21,15,0
594,594,36,138,1113433148700,27.555,272.217,24.8,8.5,3,9.03,0.0,3,0,50,0.0,0,21,-1,-1,-1,-1,-1,-1,-1,0
598,598,36,139,1113433148800,27.6,273.12,24.8,8.5,3,9.03,0.03,3,0,50,0.0,0,-1,-1,1,51,15,-1,-1,36,0
614,614,36,140,1113433148900,27.646,274.02299999999997,24.8,8.5,3,9.03,0.0,3,0,50,0.0,0,-1,-1,15,-1,5,-1,-1,-1,0
625,625,36,141,1113433149000,27.691,274.923,24.8,8.5,3,9.07,0.61,3,0,50,0.0,0,11,-1,-1,-1,13,-1,15,50,0
635,635,36,142,1113433149100,27.738000000000003,275.842,24.8,8.5,3,9.05,-0.68,3,0,50,0.0,0,-1,-1,-1,-1,-1,54,51,1,0
644,644,36,143,1113433149200,27.783,276.777,24.8,8.5,3,8.65,-6.03,3,0,50,0.0,0,21,-1,-1,-1,-1,-1,-1,-1,0
653,653,36,144,1113433149300,27.846,277.637,24.8,8.5,3,7.72,-11.2,3,0,50,0.0,0,1,11,-1,54,13,15,-1,50,0
659,659,36,145,1113433149400,27.858,278.324,24.8,8.5,3,6.24,-11.2,3,0,50,0.0,0,-1,-1,-1,-1,-1,54,51,1,0
668,668,36,146,1113433149500,27.807,278.857,24.8,8.5,3,4.44,-11.2,3,0,50,0.0,0,-1,-1,1,51,15,-1,-1,36,0
677,677,36,147,1113433149600,27.726999999999997,279.225,24.8,8.5,3,2.79,-11.2,3,0,50,0.0,0,11,-1,-1,-1,13,-1,15,51,0
695,695,36,148,1113433149700,27.656,279.443,24.8,8.5,3,1.55,-10.14,3,0,50,0.0,0,-1,-1,-1,11,54,51,50,-1,0
701,701,36,149,1113433149800,27.63,279.513,24.8,8.5,3,0.74,-5.25,3,0,50,0.0,0,21,-1,-1,-1,-1,-1,-1,-1,0
708,708,36,150,1113433149900,27.646,279.541,24.8,8.5,3,0.34,-2.62,3,0,50,0.0,0,-1,-1,1,51,15,-1,-1,36,0
721,721,36,151,1113433150000,27.646,279.555,24.8,8.5,3,0.13,-1.51,3,0,50,0.0,0,54,-1,-1,-1,-1,-1,21,13,0
732,732,36,152,1113433150100,27.646,279.555,24.8,8.5,3,0.0,0.0,3,0,50,0.0,0,-1,-1,-1,11,54,51,50,-1,0
741,741,36,153,1113433150200,27.646,279.555,24.8,8.5,3,0.0,0.0,3,0,50,0.0,0,11,-1,-1,-1,66,13,15,51,0
758,758,36,154,1113433150300,27.646,279.555,24.8,8.5,3,0.0,0.0,3,0,50,0.0,1,13,66,74,-1,-1,-1,5,21,0
775,775,36,155,1113433150400,27.646,279.555,24.8,8.5,3,0.0,0.0,3,0,50,0.0,0,54,-1,-1,66,7,-1,21,15,0
790,790,36,156,1113433150500,27.66,279.555,24.8,8.5,3,0.0,0.0,3,0,50,0.0,0,11,-1,-1,-1,66,13,15,51,0
794,794,36,157,1113433150600,27.647,279.555,24.8,8.5,3,0.0,0.0,3,0,50,0.0,0,-1,-1,1,54,15,-1,-1,36,0
810,810,36,158,1113433150700,27.57800000000001,279.555,24.8,8.5,3,0.0,0.0,3,0,50,0.0,0,-1,-1,15,7,5,-1,-1,-1,0
828,828,36,159,1113433150800,27.49,279.626,24.8,8.5,3,1.65,11.2,3,0,50,0.0,0,-1,-1,-1,11,54,51,50,-1,0
843,843,36,160,1113433150900,27.41800000000001,279.845,24.8,8.5,3,2.71,11.02,3,0,50,0.0,0,50,51,54,13,7,-1,21,-1,0
850,850,36,161,1113433151000,27.401999999999997,280.202,24.8,8.5,3,3.55,6.17,3,0,50,0.0,0,-1,-1,-1,-1,-1,54,51,1,0
861,861,36,162,1113433151100,27.414,280.622,24.8,8.5,3,3.97,1.4,3,0,50,0.0,0,50,51,54,13,7,-1,21,-1,0
883,883,36,163,1113433151200,27.412,281.04,24.8,8.5,3,4.05,-0.38,3,0,50,0.0,0,13,66,74,-1,-1,-1,5,21,0
887,887,36,164,1113433151300,27.410999999999998,281.442,24.8,8.5,3,4.02,-0.24,3,0,50,0.0,0,54,-1,-1,74,-1,-1,7,13,0
912,912,36,165,1113433151400,27.408,281.84,24.8,8.5,3,4.0,0.0,3,0,50,0.0,0,-1,-1,-1,-1,-1,-1,54,11,0
918,918,36,166,1113433151500,27.406,282.24,24.8,8.5,3,4.0,0.0,3,0,50,0.0,0,21,-1,7,-1,-1,-1,-1,-1,0
931,931,36,167,1113433151600,27.404,282.64,24.8,8.5,3,4.0,0.0,3,0,50,0.0,0,11,-1,24,-1,66,-1,13,50,0
953,953,36,168,1113433151700,27.403000000000002,283.039,24.8,8.5,3,4.0,0.0,3,0,50,0.0,1,11,-1,24,-1,66,-1,13,50,0
964,964,36,169,1113433151800,27.401,283.439,24.8,8.5,3,4.0,0.02,3,0,50,0.0,0,21,-1,7,-1,-1,-1,-1,-1,0
973,973,36,170,1113433151900,27.399,283.839,24.8,8.5,3,4.0,0.02,3,0,50,0.0,0,54,-1,-1,74,-1,-1,7,13,0
989,989,36,171,1113433152000,27.397,284.2390000000001,24.8,8.5,3,4.0,0.0,3,0,50,0.0,0,-1,-1,15,7,5,-1,-1,-1,0
1008,1008,36,172,1113433152100,27.395,284.64,24.8,8.5,3,4.0,0.0,3,0,50,0.0,0,-1,-1,-1,11,51,-1,50,-1,0
1026,1026,36,173,1113433152200,27.393,285.04,24.8,8.5,3,4.0,0.0,3,0,50,0.0,0,-1,-1,-1,11,51,-1,50,-1,0
1036,1036,36,174,1113433152300,27.391,285.441,24.8,8.5,3,4.0,-0.08,3,0,50,0.0,0,51,54,-1,66,7,-1,21,15,0
1054,1054,36,175,1113433152400,27.39,285.84,24.8,8.5,3,3.99,-0.13,3,0,50,0.0,1,13,-1,66,-1,41,-1,5,-1,0
1064,1064,36,176,1113433152500,27.388,286.235,24.8,8.5,3,4.0,0.27,3,0,50,0.0,0,21,-1,7,41,-1,-1,-1,-1,0
1079,1079,36,177,1113433152600,27.386,286.629,24.8,8.5,3,4.09,1.44,3,0,50,0.0,0,54,-1,-1,-1,-1,-1,7,66,0
1089,1089,36,178,1113433152700,27.38300000000001,287.036,24.8,8.5,3,4.31,2.94,3,0,50,0.0,0,21,-1,7,41,-1,-1,-1,-1,0
1116,1116,36,179,1113433152800,27.381,287.476,24.8,8.5,3,4.63,3.65,3,0,50,0.0,0,7,-1,4,-1,-1,-1,-1,5,0
